                       Results                
------------------------------------------------------
      (X,Y)     Disp X    Disp Y  Temp Pressure Tract. X   Tract. Y Thermflux Flowrate
(   2.00000,   2.00000)         0.00569         0.00569       283.78658         0.27269
(   3.00000,   3.00000)         0.12549         0.12549       284.16241         0.50477
(   4.00000,   4.00000)         0.27128         0.27128       285.02650         0.65244
(   5.00000,   5.00000)         0.44839         0.44839       288.78193         0.70521
(   6.00000,   6.00000)         0.62974         0.62974       285.34225         0.65096
(   7.00000,   7.00000)         0.80097         0.80097       284.31858         0.45787
(   8.00000,   8.00000)         0.95383         0.95383       283.89554         0.17193
(   9.00000,   9.00000)         1.08871         1.08871       283.72342        -0.07676
       	Interior Points Stress    
      (Xi,Yi)   Stress X   Stress Y  
(   1.00000,   1.00000)         0.01749         0.11462         0.01749         0.00000         0.00000         0.00000         0.00000
(   2.00000,   2.00000)         0.06380         0.06338         0.06380         0.00000         0.00000         0.00000         0.00000
(   3.00000,   3.00000)         0.10171         0.00789         0.10171         0.00000         0.00000         0.00000         0.00000
(   4.00000,   4.00000)         0.11946         0.00555         0.11946         0.00000         0.00000         0.00000         0.00000
(   5.00000,   5.00000)         0.13027         0.01655         0.13027         0.00000         0.00000         0.00000         0.00000
(   6.00000,   6.00000)         0.14321         0.01431         0.14321         0.00000         0.00000         0.00000         0.00000
(   7.00000,   7.00000)         0.14839         0.01773         0.14839         0.00000         0.00000         0.00000         0.00000
(   8.00000,   8.00000)         0.13219         0.06413         0.13219         0.00000         0.00000         0.00000         0.00000
(   9.00000,   9.00000)         0.11520         0.03607         0.11520         0.00000         0.00000         0.00000         0.00000
Time = 0.317098 year
(   2.50000,    0.00000)         0.00000         0.00000    698634.54706         0.00000        -0.11666         0.10592         0.00000         0.40893 
(   7.50000,    0.00000)         1.13676         0.01272    698634.61035         0.00000         0.00000         0.00000         0.00000         0.30491 
(  10.00000,    2.50000)         1.34544         0.18137    698634.64290         0.00000         0.00000         0.00000         0.00000        -0.25051 
(  10.00000,    7.50000)         1.37400         1.19684    698634.71014         0.00000         0.00000         0.00000         0.00000        -0.31405 
(   7.50000,   10.00000)         1.19684         1.37400    698634.71014         0.00000         0.00000         0.00000         0.00000        -0.31405 
(   2.50000,   10.00000)         0.18137         1.34544    698634.64290         0.00000         0.00000         0.00000         0.00000        -0.25051 
(   0.00000,    7.50000)         0.01272         1.13676    698634.61035         0.00000         0.00000         0.00000         0.00000         0.30491 
(   0.00000,    2.50000)         0.00000         0.00000    698634.54706         0.00000         0.10592        -0.11666         0.00000         0.40893 
       	Interior Points Displacement    
      (Xi,Yi)   Disp X   Disp Y  
(   1.00000,   1.00000)        -0.12750        -0.12750    699162.01669         0.05406
(   2.00000,   2.00000)         0.09900         0.09900    698639.13107         0.48749
(   3.00000,   3.00000)         0.29682         0.29682    698635.63768         0.87442
(   4.00000,   4.00000)         0.48043         0.48043    698636.65583         1.09615
(   5.00000,   5.00000)         0.67175         0.67175    698640.48200         1.13660
(   6.00000,   6.00000)         0.85831         0.85831    698636.99634         0.99618
(   7.00000,   7.00000)         1.04192         1.04192    698635.84085         0.66090
(   8.00000,   8.00000)         1.23327         1.23327    698639.30415         0.22191
(   9.00000,   9.00000)         1.44340         1.44340    699162.18285        -0.13260
       	Interior Points Stress    
      (Xi,Yi)   Stress X   Stress Y  
(   1.00000,   1.00000)        -0.00102         0.19773        -0.00102         0.00000         0.00000         0.00000         0.00000
(   2.00000,   2.00000)         0.07889         0.11063         0.07889         0.00000         0.00000         0.00000         0.00000
(   3.00000,   3.00000)         0.14346         0.01500         0.14346         0.00000         0.00000         0.00000         0.00000
(   4.00000,   4.00000)         0.17100        -0.00075         0.17100         0.00000         0.00000         0.00000         0.00000
(   5.00000,   5.00000)         0.17836         0.00593         0.17836         0.00000         0.00000         0.00000         0.00000
(   6.00000,   6.00000)         0.18059        -0.00473         0.18059         0.00000         0.00000         0.00000         0.00000
(   7.00000,   7.00000)         0.16933        -0.00470         0.16933         0.00000         0.00000         0.00000         0.00000
(   8.00000,   8.00000)         0.13358         0.05448         0.13358         0.00000         0.00000         0.00000         0.00000
(   9.00000,   9.00000)         0.10614         0.01627         0.10614         0.00000         0.00000         0.00000         0.00000
