


                       Matrix                
------------------------------------------------------
      G(i,j) * Bc(j) = F(j)     
|-0.0000  0.0000 -0.0000  0.0000 -0.0000  0.0000 -0.0000  0.0000 -0.0000  0.0000 -0.0000  0.0000 -0.0000  0.0000 -0.0000  0.0000 -0.0000 -0.0000 -0.0000  0.0000 -0.0032 -0.0015 -0.0005  0.0036  0.0000  0.0000 -0.5000  0.0000  0.0003  0.0000  0.0000  0.0000 |0.00000=| 0.0000
| 0.0016  0.0013  0.0000  0.0000 -0.0001  0.0011  0.0000  0.0000 -0.0006  0.0007  0.0000  0.0000 -0.0011  0.0000  0.0000  0.0000 -0.0015 -0.0010  0.0000  0.0000  0.0003 -0.0057  0.0000  0.0214  0.0000  0.0000  0.0000 -0.5000  0.0060  0.0000  0.0000  0.0000 |0.00000=|-0.0000
|-0.0160  0.0032  0.0000 -0.0236 -0.0051  0.0005  0.0000 -0.0140 -0.0036  0.0000  0.0000 -0.0117 -0.0028 -0.0003  0.0000 -0.0095 -0.0029 -0.0005  0.0000 -0.0081 -0.0041 -0.0006  0.0000 -0.0052 -0.0077  0.0000  0.0000  0.0000  0.0112  0.0000  0.0000  0.0000 |0.00000=| 0.0000
| 0.0025  0.0006  0.0000  0.0191  0.0003  0.0003  0.0000  0.0029  0.0000  0.0002  0.0000  0.0000 -0.0001  0.0000  0.0000 -0.0022 -0.0001 -0.0001  0.0000 -0.0034  0.0002 -0.0005  0.0000 -0.0046  0.0032  0.0000  0.0000  0.0000  0.0000 -0.5000  0.0000  0.0000 |0.00000=|-0.2103
|-0.0032  0.0015 -0.0005  0.0036 -0.0000  0.0000 -0.0000  0.0000 -0.0000 -0.0000 -0.0000  0.0000 -0.0000 -0.0000 -0.0000  0.0000 -0.0000 -0.0000 -0.0000  0.0000 -0.0000 -0.0000 -0.0000  0.0000  0.0003  0.0000  0.0000  0.0000  0.0000  0.0000 -0.5000  0.0000 |0.00000=|-0.0000
| 0.0003  0.0057  0.0000  0.0214 -0.0015  0.0010  0.0000  0.0000 -0.0011 -0.0000  0.0000  0.0000 -0.0006 -0.0007  0.0000  0.0000 -0.0001 -0.0011  0.0000  0.0000  0.0016 -0.0013  0.0000  0.0000  0.0060  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000 -0.5000 |0.00000=|-0.0036



                       Matrix                
------------------------------------------------------
      G(i,j) * Bc(j) = F(j)     
|-0.5000  0.0000  0.0000  0.0000  0.0000  0.0155  0.0000  0.0000 -0.0023  0.0029  0.0000 -0.0305 -0.0008 -0.0009  0.0000 -0.0286  0.0004 -0.0011  0.0000 -0.0196  0.0017  0.0000  0.0000 -0.0000  0.0020  0.0015  0.0000  0.0226  0.0032  0.0021  0.0000  0.0671 |0.00000=|-1.4649
